id,exercise_name,video_link,video_explanation,expereince_level,target_muscle,primary_muscle,secondary_muscle,category,laterality,exercise_classification,inserted_at,equipment,standardized_name,standardized_primary_muscle,standardized_secondary_muscle,standardization_notes
6966,Single Arm Dumbbell Half Kneeling Ipsilateral Overhead Press,,https://youtu.be/xwNijn3wK7I?si=h_QgGtuzq4TYPztT,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,Upper Body,Ipsilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Dumbbell,Half Kneeling Overhead Press,Shoulders,Triceps,Unilateral press from half-kneeling position
6967,Double Dumbbell Half Kneeling Overhead Press,https://youtu.be/HZM84steEyw?si=wN3l2SpjKBFPTIbD,,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,Upper Body,Bilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Dumbbell,Half Kneeling Dumbbell Press,Shoulders,Triceps,Bilateral dumbbell overhead press from half-kneeling
6968,Double Dumbbell Tall Kneeling Overhead Press,https://youtu.be/y0t2PFFwSe4?si=VjtJz1Dg61jGQIZ9,,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,Upper Body,Bilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Dumbbell,Tall Kneeling Dumbbell Press,Shoulders,Triceps,Overhead press from tall kneeling with dumbbells
6969,Alternating Double Dumbbell Tall Kneeling Overhead Press,https://youtu.be/UhOs_Wvckvs?si=FqNmpb8ECh_Y-9rl,,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,Upper Body,Unilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Dumbbell,Alternating Tall Kneeling Press,Shoulders,Triceps,Alternating unilateral press from tall kneeling
6970,Alternating Double Dumbbell Half Kneeling Overhead Press,https://youtu.be/12MxAGiIgK8?si=pO89QghXz2Ykj1lb,,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,Upper Body,Unilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Dumbbell,Alternating Half Kneeling Press,Shoulders,Triceps,Alternating press from half-kneeling position
6971,Single Arm Dumbbell Tall Kneeling Overhead Press,https://youtu.be/QVFklRHtJxY?si=D_kiEaZg-5pSrfHL,,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,Upper Body,Unilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Dumbbell,Tall Kneeling Single-Arm Press,Shoulders,Triceps,Unilateral overhead press from tall kneeling
6972,Double Plate Incline Bench Prone Y Raise,https://youtu.be/VHeZJHEj6ic?si=DTfOrwFveTP-memt,,Novice,Shoulders,Posterior Deltoids,,Upper Body,Bilateral,Postural,2025-08-10 01:02:43.832216+00,Weight Plate,Prone Y Raise,Rear Shoulders,Upper Back,Posterior deltoid exercise on incline bench
6973,Single Arm Kettlebell Pendlay Row,https://youtu.be/VOmnhGvccZ0?feature=shared,https://youtu.be/4s4dmYTwOok?si=hW7jE6WANr2Iv0QN,Novice,Back,Latissimus Dorsi,Biceps Brachii,Upper Body,Unilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Kettlebell,Kettlebell Pendlay Row,Back,Biceps,Explosive row from floor using kettlebell
6974,Barbell Floor Press,https://youtu.be/YdiVxhxufG8?si=pMAxf531BcAPvatO,,Novice,Chest,Pectoralis Major,Triceps Brachii,Upper Body,Bilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Barbell,Floor Press,Chest,Triceps,Barbell chest press from floor
6975,Ring Plank,https://youtu.be/p3zS2AMqGlg,,Novice,Abdominals,Rectus Abdominis,,Core,Bilateral,Calisthenics,2025-08-10 01:02:43.832216+00,Gymnastic Rings,Plank on Rings,Abs,Shoulders,Standard plank with instability from rings
6976,Single Arm Ring Plank,https://youtu.be/_Iev7PLP6QY,,Intermediate,Abdominals,Rectus Abdominis,,Core,Unilateral,Calisthenics,2025-08-10 01:02:43.832216+00,Gymnastic Rings,Single-Arm Plank on Rings,Abs,Shoulders,Unilateral plank variation for increased core demand
6977,Battle Rope Alternating Outward Circle,https://youtu.be/O2HVcPD3wKQ?si=CFVI8GpHxTsirv6u,,Novice,Shoulders,Anterior Deltoids,Biceps Brachii,Upper Body,Unilateral,Unsorted*,2025-08-10 01:02:43.832216+00,Battle Ropes,Alternating Battle Rope Circles,Shoulders,Biceps,Circular motion with alternating arms
6978,Battle Rope Alternating Inward Circle,,,Novice,Shoulders,Anterior Deltoids,Biceps Brachii,Upper Body,Unilateral,Unsorted*,2025-08-10 01:02:43.832216+00,Battle Ropes,Alternating Battle Rope Circles,Shoulders,Biceps,Inward variation of alternating rope circles
6979,Ring Support Hold,https://youtu.be/kONbxg4kzkE,https://youtu.be/9PKChU9Ozs8,Advanced,Abdominals,Rectus Abdominis,,Upper Body,Bilateral,Calisthenics,2025-08-10 01:02:43.832216+00,Gymnastic Rings,Support Hold on Rings,Abs,Shoulders,Static hold in support position
6980,Ring Side Plank,https://youtu.be/PQ3Vz8fp73k,,Advanced,Abdominals,Obliques,Rectus Abdominis,Core,Unilateral,Calisthenics,2025-08-10 01:02:43.832216+00,Gymnastic Rings,Side Plank on Rings,Obliques,Abs,Unstable side plank using rings
6981,Barbell Reverse Grip Bent Over Row,https://youtu.be/cZvQNvTUUu0?si=SqA3lYAZBc0jOnvn,https://youtu.be/3gdGSSgDby8?si=OyYmh7nuJE7MOd18,Novice,Back,Latissimus Dorsi,Rhomboids,Upper Body,Bilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Barbell,Reverse-Grip Bent Over Row,Back,Biceps,Row with underhand grip emphasizing biceps
6982,Macebell Offset Bent Over Row,https://youtu.be/OXl94TQd_vw?si=AMXpvOM-H382GJoz,https://youtu.be/B5HzEBCUYTA?si=qThbbgj9xsDEnoRy,Novice,Back,Latissimus Dorsi,Rhomboids,Upper Body,Bilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Macebell,Macebell Bent Over Row,Back,Biceps,Row using macebell with offset load
6983,Macebell Reverse Grip Offset Bent Over Row,https://youtu.be/igNnqZZ69JM?si=xaqrnAFrW4r7NuVR,,Novice,Back,Latissimus Dorsi,Rhomboids,Upper Body,Bilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Macebell,Macebell Reverse-Grip Row,Back,Biceps,Underhand row with macebell
6984,Alternating Single Arm Kettlebell Pendlay Row,,,Novice,Back,Latissimus Dorsi,Biceps Brachii,Upper Body,Unilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Kettlebell,Alternating Kettlebell Pendlay Row,Back,Biceps,Explosive unilateral row from floor
6985,Bodyweight Hollow Body Rock,https://youtu.be/p7j02V1fIzU,https://youtu.be/hbsljZvfp6E,Intermediate,Abdominals,Rectus Abdominis,,Core,Bilateral,Unsorted*,2025-08-10 01:02:43.832216+00,Bodyweight,Hollow Body Rock,Abs,Hip Flexors,Core stabilization exercise using bodyweight
6986,Single Arm Dumbbell Power Snatch,https://youtu.be/3mlhF3dptAo,https://youtu.be/Dc8XQpyly3g,Intermediate,Glutes,Gluteus Maximus,Anterior Deltoids,Full Body,Unilateral,Unsorted*,2025-08-10 01:02:43.832216+00,Dumbbell,Single-Arm Dumbbell Snatch,Glutes,Shoulders,Explosive full-body movement with dumbbell
6987,Alternating Single Arm Dumbbell Power Snatch,https://youtu.be/OktkfRlGcns,,Intermediate,Glutes,Gluteus Maximus,Anterior Deltoids,Full Body,Unilateral,Unsorted*,2025-08-10 01:02:43.832216+00,Dumbbell,Alternating Single-Arm Dumbbell Snatch,Glutes,Shoulders,Same as snatch but alternating arms
6988,Single Arm Dumbbell Squat Snatch,https://youtu.be/etK3OPjM3S4,https://youtu.be/PlTCUyVcY0E,Intermediate,Quadriceps,Quadriceps Femoris,Quadriceps Femoris,Full Body,Unilateral,Unsorted*,2025-08-10 01:02:43.832216+00,Dumbbell,Single-Arm Dumbbell Squat Snatch,Quads,Glutes,Combines squat and snatch in one motion
6989,Alternating Single Arm Dumbbell Squat Snatch,https://youtu.be/T0_a2xijJBE,,Intermediate,Quadriceps,Quadriceps Femoris,Quadriceps Femoris,Full Body,Unilateral,Unsorted*,2025-08-10 01:02:43.832216+00,Dumbbell,Alternating Single-Arm Dumbbell Squat Snatch,Quads,Glutes,Squat snatch with alternating arms
6990,Single Arm Cable Single Leg Romanian Deadlift,https://youtu.be/OC_7QIo0uk4,,Intermediate,Hamstrings,Biceps Femoris,Gluteus Maximus,Lower Body,Unilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Cable,Single-Leg Romanian Deadlift with Cable,Hamstrings,Glutes,Unilateral deadlift using cable for resistance
6991,Double Kettlebell Suitcase Cyclist Squat,https://youtu.be/6caQpfXMvyw?si=WY0XcdcIUuE20g-o,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Lower Body,Bilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Kettlebell,Double Kettlebell Suitcase Squat,Quads,Glutes,"""Squat with kettlebells at sides"
6992,Single Arm Kettlebell Suitcase Cyclist Squat,https://youtu.be/AlxuA22ymwg?si=-tgz7djxN0QKxXfA,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Lower Body,Unilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Kettlebell,Single-Arm Kettlebell Suitcase Squat,Quads,Glutes,Unilateral loading variation of suitcase squat
6993,Double Kettlebell Front Rack Step Up,https://youtu.be/wcnuhd6RHwE,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Lower Body,Unilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Kettlebell,Double Kettlebell Step-Up,Quads,Glutes,Step-up with kettlebells in front rack position
6994,Double Kettlebell Incline Bench Prone Row,https://youtu.be/jHpBzpxK16c?si=3sB9wGkke_B632ad,https://youtu.be/awJJqNd0-9s?si=OSIE0z3se9Z4vj_4,Novice,Back,Latissimus Dorsi,,Upper Body,Bilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Kettlebell,Incline Bench Row with Kettlebells,Lats,Middle Back,Rowing movement on incline bench using kettlebells
6995,Single Arm Dumbbell Incline Bench Prone Row,https://youtu.be/4Bv94e_ufjo?si=8V5SPIIuNai7zUm3,,Novice,Back,Latissimus Dorsi,,Upper Body,Unilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Dumbbell,Single-Arm Dumbbell Incline Row,Lats,Middle Back,Unilateral row on incline bench
6996,Single Arm Dumbbell Spider Curl,https://youtu.be/Ew2ZzKqICfA?si=Irq2jLSDxKiagY3F,,Novice,Biceps,Biceps Brachii,Brachialis,Upper Body,Unilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Dumbbell,Spider Curl,Biceps,Brachialis,Curl performed on incline bench for biceps isolation
6997,Double Kettlebell Spider Curl,,https://youtu.be/L6XHpSFmVjA?si=BYKjvx0FJ8AIiQ7W,Novice,Biceps,Biceps Brachii,Brachialis,Upper Body,Bilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Kettlebell,Kettlebell Spider Curl,Biceps,Brachialis,Spider curl using kettlebells
6998,Double Kettlebell Bottoms Up Incline Bench Press,https://youtu.be/STeIzkHm6tE?si=BxEJOKh_KtwNSMK_,,Novice,Chest,Pectoralis Major,Triceps Brachii,Upper Body,Bilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Kettlebell,Bottoms-Up Kettlebell Incline Press,Chest,Triceps,Incline press with kettlebells held upside down
6999,Double Dumbbell Seated Good Morning,https://youtu.be/x5nnk8hUBo4,https://youtu.be/7NMbAV4KPpo,Novice,Back,Erector Spinae,Gluteus Maximus,Lower Body,Bilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Dumbbell,Seated Good Morning,Lower Back,Glutes,Hip hinge movement performed seated
7000,Bodyweight Hip Thrust,https://youtu.be/OAhvIWLC0rc,,Beginner,Glutes,Gluteus Maximus,Biceps Femoris,Lower Body,Bilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Bodyweight,Bodyweight Hip Thrust,Glutes,Hamstrings,Glute-focused hip extension without added weight
7001,Double Kettlebell Front Rack Box Pistol Squat,,https://youtu.be/mnQtaFcGtv4,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Lower Body,Unilateral,Balance,2025-08-10 01:02:43.832216+00,Kettlebell,Kettlebell Front Rack Pistol Squat,Quads,Glutes,Single-leg squat with kettlebells in front rack
7002,Alternating Double Kettlebell Bottoms Up Incline Bench Press,,,Novice,Chest,Pectoralis Major,Triceps Brachii,Upper Body,Unilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Kettlebell,Alternating Bottoms-Up Kettlebell Incline Press,Chest,Triceps,Alternating press with unstable kettlebell grip
7003,Single Arm Kettlebell Bottoms Up Incline Bench Press,https://youtu.be/SoVCwno_9z8?si=BCvfBOVPW_aHbvZ_,,Novice,Chest,Pectoralis Major,Triceps Brachii,Upper Body,Unilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Kettlebell,Single-Arm Kettlebell Incline Press,Chest,Triceps,Unilateral incline press with bottoms-up hold
7004,Alternating Double Kettlebell Incline Bench Prone Row,https://youtu.be/rAoi4_AI7VA?si=b6KXmXEYoxIPmTt2,,Novice,Back,Latissimus Dorsi,,Upper Body,Unilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Kettlebell,Alternating Kettlebell Incline Row,Lats,Middle Back,Alternating rowing movement on incline bench
7005,Single Arm Kettlebell Incline Bench Prone Row,https://youtu.be/gPX8OmnYmQY?si=UgQnJkh9n3OobTcZ,,Novice,Back,Latissimus Dorsi,,Upper Body,Unilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Kettlebell,Single-Arm Kettlebell Incline Row,Lats,Middle Back,Unilateral row using kettlebell on incline bench
7006,Ring Side Plank Reach Through,,,Expert,Abdominals,Obliques,Rectus Abdominis,Core,Unilateral,Calisthenics,2025-08-10 01:02:43.832216+00,Gymnastic Rings,Ring Side Plank Reach-Through,Obliques,Abs,Core stability exercise using gymnastic rings
7007,Single Arm Dumbbell Overhead Contralateral Bulgarian Split Squat,https://youtu.be/z7rygloAW30?si=p4kPPZcAKammq1Vv,https://youtu.be/pEOli_ZdcBs?si=qgD2rL4Mv8km66VS,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Lower Body,Contralateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Dumbbell,Overhead Bulgarian Split Squat,Quads,Glutes,"""Split squat with dumbbell overhead"
7008,Single Arm Dumbbell Overhead Contralateral Knee Over Toe Split Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Lower Body,Contralateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Dumbbell,Knee-Over-Toe Split Squat,Quads,Glutes,Split squat emphasizing forward knee travel
7009,Double Kettlebell Suitcase Step Up,https://youtu.be/3HUEab31fks?si=B2OmGKfwSuXhts1z,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Lower Body,Unilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Kettlebell,Double Kettlebell Suitcase Step-Up,Quads,Glutes,Step-up with kettlebells at sides
7010,Single Arm Kettlebell Suitcase Contralateral Step Up,https://youtu.be/lMADALbx1eM?si=wJjWrYeLHPKqVgHh,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Lower Body,Contralateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Kettlebell,Single-Arm Kettlebell Suitcase Step-Up (Contralateral),Quads,Glutes,Step-up with opposite arm holding kettlebell
7011,Single Arm Kettlebell Suitcase Ipsilateral Step Up,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Lower Body,Ipsilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Kettlebell,Single-Arm Kettlebell Suitcase Step-Up (Ipsilateral),Quads,Glutes,Same-side arm and leg used in step-up
7012,Single Arm Kettlebell Front Rack Contralateral Step Up,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Lower Body,Contralateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Kettlebell,Kettlebell Front Rack Step-Up (Contralateral),Quads,Glutes,"""Step-up with kettlebell in front rack"
7013,Single Arm Kettlebell Front Rack Ipsilateral Step Up,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Lower Body,Ipsilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Kettlebell,Kettlebell Front Rack Step-Up (Ipsilateral),Quads,Glutes,Same-side arm and leg in front rack step-up
7014,Double Kettlebell Overhead Step Up,https://youtu.be/eKUmMljLcKw?si=ocsvBon7ivrRziM6,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Lower Body,Unilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Kettlebell,Double Kettlebell Overhead Step-Up,Quads,Glutes,Step-up with kettlebells locked overhead
7015,Single Arm Kettlebell Overhead Contralateral Step Up,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Lower Body,Contralateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Kettlebell,Single-Arm Kettlebell Overhead Step-Up (Contralateral),Quads,Glutes,Overhead step-up with opposite arm holding weight
7016,Single Arm Kettlebell Overhead Ipsilateral Step Up,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Lower Body,Ipsilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Kettlebell,Single-Arm Kettlebell Overhead Step-Up (Ipsilateral),Quads,Glutes,Same-side arm and leg in overhead step-up
7017,Double Kettlebell Bottoms Up Front Rack Step Up,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Lower Body,Unilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Kettlebell,Bottoms-Up Kettlebell Front Rack Step-Up,Quads,Glutes,Step-up with kettlebells in unstable bottoms-up front rack
7018,Single Arm Kettlebell Bottoms Up Front Rack Contralateral Step Up,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Lower Body,Contralateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Kettlebell,Single-Arm Bottoms-Up Front Rack Step-Up (Contralateral),Quads,Glutes,Unilateral step-up with opposite arm in bottoms-up rack
7019,Single Arm Kettlebell Bottoms Up Front Rack Ipsilateral Step Up,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Lower Body,Ipsilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Kettlebell,Single-Arm Bottoms-Up Front Rack Step-Up (Ipsilateral),Quads,Glutes,Same-side arm and leg with bottoms-up kettlebell
7020,Double Kettlebell Bottoms Up Overhead Step Up,,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Lower Body,Unilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Kettlebell,Double Bottoms-Up Kettlebell Overhead Step-Up,Quads,Glutes,"""Step-up with kettlebells locked overhead"
7021,Single Arm Kettlebell Bottoms Up Overhead Contralateral Step Up,,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Lower Body,Contralateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Kettlebell,Single-Arm Bottoms-Up Overhead Step-Up (Contralateral),Quads,Glutes,Overhead step-up with opposite arm holding bottoms-up kettlebell
7022,Single Arm Kettlebell Bottoms Up Overhead Ipsilateral Step Up,,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Lower Body,Ipsilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Kettlebell,Single-Arm Bottoms-Up Overhead Step-Up (Ipsilateral),Quads,Glutes,Same-side arm and leg with bottoms-up kettlebell overhead
7023,Kettlebell Half Kneeling Low to High Chop,https://youtu.be/wPXdGwc0NTs,https://youtu.be/exMSeCF3DJg,Intermediate,Abdominals,Obliques,Rectus Abdominis,Core,Unilateral,Unsorted*,2025-08-10 01:02:43.832216+00,Kettlebell,Kettlebell Chop,Obliques,Abs,Rotational core movement from low to high
7024,Single Arm Kettlebell Windmill,https://youtu.be/3rtUK_jUv4s,https://youtu.be/VFHj4FehsfM,Intermediate,Abdominals,Obliques,Rectus Abdominis,Core,Unilateral,Grinds,2025-08-10 01:02:43.832216+00,Kettlebell,Kettlebell Windmill,Obliques,Abs,Overhead unilateral movement targeting obliques
7025,Kettlebell Russian Twist,https://youtu.be/59_aq7COfts,https://youtu.be/SigTyTv0TQQ,Novice,Abdominals,Obliques,Rectus Abdominis,Core,Bilateral,Unsorted*,2025-08-10 01:02:43.832216+00,Kettlebell,Kettlebell Russian Twist,Obliques,Abs,Seated rotational core exercise
7026,Alternating Single Arm Kettlebell Plank Pull Through,https://youtu.be/fKbu_2L94x8,https://youtu.be/setqoQC3HAU,Intermediate,Abdominals,Rectus Abdominis,Obliques,Core,Unilateral,Unsorted*,2025-08-10 01:02:43.832216+00,Kettlebell,Kettlebell Plank Pull-Through,Abs,Obliques,Plank position with alternating kettlebell pulls
7027,Single Arm Kettlebell Single Leg Standing Bent Knee Around The World,,https://youtu.be/ve60gzLLyzA,Intermediate,Abdominals,Rectus Abdominis,,Core,Unilateral,Balance,2025-08-10 01:02:43.832216+00,Kettlebell,Standing Kettlebell Around the World,Abs,Balance,Dynamic core and stability exercise
7028,Single Arm Kettlebell Swing,https://youtu.be/kneGICiz30g,https://youtu.be/BXrXhyudA80,Novice,Glutes,Gluteus Maximus,Biceps Femoris,Full Body,Unilateral,Ballistics,2025-08-10 01:02:43.832216+00,Kettlebell,Single-Arm Kettlebell Swing,Glutes,Hamstrings,Hip-dominant explosive swing with one kettlebell
7029,Double Kettlebell Suitcase Feet Elevated Calf Raise,,https://youtu.be/qkK_V6hpQ80?si=HkiTuj2F0YsYYRFZ,Novice,Calves,Gastrocnemius,Soleus,Lower Body,Bilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Kettlebell,Elevated Calf Raise with Kettlebells,Calves,Soleus,Calf raise with feet elevated and kettlebells at sides
7030,Single Arm Kettlebell Spider Curl,,,Novice,Biceps,Biceps Brachii,Brachialis,Upper Body,Unilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Kettlebell,Kettlebell Spider Curl,Biceps,Brachialis,Spider curl using a kettlebell
7031,Double Kettlebell Bottoms Up Bench Press,https://youtu.be/bIzD1Z_C0cA,,Novice,Chest,Pectoralis Major,Triceps Brachii,Upper Body,Bilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Kettlebell,Bottoms-Up Kettlebell Bench Press,Chest,Triceps,Bench press with kettlebells held upside down
7032,Single Arm Kettlebell Suitcase Deadlift,https://youtu.be/1hcAoywwuRI,https://youtu.be/d6i6MwVOmk0?si=ecPMnAcU-eh4ENBj,Novice,Back,Latissimus Dorsi,Obliques,Full Body,Unilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Kettlebell,Single-Arm Suitcase Deadlift,Lats,Obliques,"""Deadlift with unilateral load"
7033,Single Arm Kettlebell Clean,https://youtu.be/TQT7hBXVcOo,https://youtu.be/lYh7Kf_lEMY,Intermediate,Glutes,Gluteus Maximus,,Full Body,Unilateral,Ballistics,2025-08-10 01:02:43.832216+00,Kettlebell,Single-Arm Kettlebell Clean,Glutes,Shoulders,Explosive hip hinge to rack position
7034,Single Arm Kettlebell Clean to Overhead Press,https://youtu.be/JtlYyc5MaAc,https://youtu.be/48qvCvJJr8Y,Intermediate,Shoulders,Anterior Deltoids,Gluteus Maximus,Full Body,Unilateral,Ballistics,2025-08-10 01:02:43.832216+00,Kettlebell,Kettlebell Clean and Press,Shoulders,Glutes,Combines clean and overhead press in one motion
7035,Alternating Single Arm Dumbbell Pendlay Row,https://youtu.be/7zKQ79awAvY?feature=shared,,Novice,Back,Latissimus Dorsi,Biceps Brachii,Upper Body,Unilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Dumbbell,Dumbbell Pendlay Row,Lats,Biceps,Standard rowing movement with dumbbells; 'Pendlay Row' implies explosive pull from floor
7036,Alternating Double Kettlebell Bottoms Up Bench Press,,,Novice,Chest,Pectoralis Major,Triceps Brachii,Upper Body,Unilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Kettlebell,Kettlebell Bench Press,Chest,Triceps,Bottoms-up variation increases instability but core movement is bench press
7037,Single Arm Kettlebell Snatch,https://youtu.be/VdNC_xicfyg,https://youtu.be/OO7y9cIz0lU,Intermediate,Shoulders,Anterior Deltoids,Gluteus Maximus,Full Body,Unilateral,Ballistics,2025-08-10 01:02:43.832216+00,Kettlebell,Kettlebell Snatch,Shoulders,Glutes,"""Full-body explosive movement; primary drive comes from hips"
7038,Kettlebell Sumo Deadlift,https://youtu.be/odS65TnXgU0?si=l3QM9Nb4wHNt_JgK,https://youtu.be/yWqIE3v7Rq0?si=4_0xj-bhEgm8WUtF,Beginner,Back,Latissimus Dorsi,Gluteus Maximus,Full Body,Bilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Kettlebell,Sumo Deadlift,Glutes,Hamstrings,"""Primary muscle should be glutes"
7039,Single Arm Kettlebell Turkish Get Up,https://youtu.be/sgd8n917Zv0,https://youtu.be/Gvc3_o9R6hc,Intermediate,Abdominals,Obliques,Rectus Abdominis,Full Body,Unilateral,Grinds,2025-08-10 01:02:43.832216+00,Kettlebell,Turkish Get-Up,Obliques,Shoulders,Core-dominant full-body movement; obliques stabilize throughout
7040,Kettlebell Goblet Squat,https://youtu.be/f-Vf2yRRqOg,https://youtu.be/fnuHKfySEsU,Beginner,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Lower Body,Bilateral,Unsorted*,2025-08-10 01:02:43.832216+00,Kettlebell,Goblet Squat,Quads,Glutes,Common front-loaded squat variation with kettlebell held at chest
7041,Single Arm Kettlebell Overhead Squat,https://youtu.be/nrfDq0DUhrE,https://youtu.be/pUo1r5kCkhU,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Lower Body,Unilateral,Unsorted*,2025-08-10 01:02:43.832216+00,Kettlebell,Overhead Squat,Quads,Glutes,Barbell or kettlebell variation; primary movers remain quads and glutes
7042,Double Kettlebell Front Rack Alternating Cossack Squat,https://youtu.be/vcMZNgn5G9c,,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Lower Body,Unilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Kettlebell,Cossack Squat,Quads,Adductors,Lateral squat variation emphasizing adductor stretch and quad engagement
7043,Single Arm Kettlebell Bottoms Up Bench Press,https://youtu.be/NIytPzrQ460?si=hBsVxzSTE6ddOTCD,https://youtu.be/XqVjldCjnXM?si=TrEPboJXiVhVKoXL,Novice,Chest,Pectoralis Major,Triceps Brachii,Upper Body,Unilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Kettlebell,Kettlebell Bench Press,Chest,Triceps,Same as bilateral version; bottoms-up increases core and stability demand
7044,Single Arm Kettlebell Turkish Sit Up,https://youtu.be/KpufjJRtyPc,,Intermediate,Abdominals,Rectus Abdominis,Anterior Deltoids,Core,Unilateral,Unsorted*,2025-08-10 01:02:43.832216+00,Kettlebell,Turkish Sit-Up,Abs,Shoulders,Abdominal-dominant movement with overhead stabilization
7045,Double Kettlebell Turkish Sit Up,https://youtu.be/RttCwCerCiM,,Intermediate,Abdominals,Rectus Abdominis,Anterior Deltoids,Core,Bilateral,Unsorted*,2025-08-10 01:02:43.832216+00,Kettlebell,Turkish Sit-Up,Abs,Shoulders,Same as single-arm version but with bilateral overhead load
7046,Double Kettlebell Turkish Sit Up to Z Press,https://youtu.be/UcLpNnWX8vE,,Intermediate,Abdominals,Rectus Abdominis,Anterior Deltoids,Full Body,Bilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Kettlebell,Turkish Sit-Up to Z Press,Abs,Shoulders,Combines sit-up with strict overhead press from seated position
